os,cpu,gpu,ram,kernel,driver,cpuscheduler
ROSA Fresh Desktop 12.2,Intel Xeon CPU E5-2678 v3 @ 2.50GHz,Radeon RX 6600/6600 XT/6600M,32770052,5.19.0.xm2-1-xanmod-rosa2021.1-x86_64,4.6 Mesa 22.1.7,conservative
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
203.707,4909,22.5686,99,49,60,2583,875,1.41146,114,3.53777,161761898
203.583,4912,22.5686,99,49,60,2583,875,1.41146,114,3.53777,261828441
205.381,4869,22.5686,99,49,60,2583,875,1.41146,114,3.53777,361872087
207.211,4826,22.5686,99,49,60,2583,875,1.41146,114,3.53777,461941310
208.203,4803,22.5686,99,49,60,2583,875,1.41146,114,3.53777,562007178
204.792,4883,22.5686,99,49,60,2583,875,1.41146,114,3.53777,662125464
203.832,4906,21.598,99,50,60,2579,874,1.41146,114,3.53777,762190179
201.939,4952,21.598,99,50,60,2579,874,1.41146,114,3.53777,862250709
208.247,4802,21.598,99,50,60,2579,874,1.41146,114,3.53777,962310923
209.82,4766,21.598,99,50,60,2579,874,1.41146,114,3.53777,1062375297
208.16,4804,21.598,99,50,60,2579,874,1.41146,114,3.53777,1162436511
210.438,4752,21.8045,99,50,61,2579,874,1.41146,114,3.53789,1262498621
209.161,4781,21.8045,99,50,61,2579,874,1.41146,114,3.53789,1362566427
205.255,4872,21.8045,99,50,61,2579,874,1.41146,114,3.53789,1462626526
54.2535,18432,21.8045,99,50,61,2579,874,1.41146,114,3.53789,1562680436
211.73,4723,21.8045,99,50,61,2579,874,1.41146,114,3.53789,1662734016
48.0215,20824,23.6181,99,50,60,2579,874,1.41146,114,3.55842,1762791829
48.0215,20824,23.6181,99,50,60,2579,874,1.41146,114,3.55842,1862852321
83.3611,11996,23.6181,99,50,60,2579,874,1.41146,114,3.55842,1962906825
233.481,4283,23.6181,99,50,60,2579,874,1.41146,114,3.55842,2062965551
208.899,4787,23.6181,99,50,60,2579,874,1.41146,114,3.55842,2163020761
213.174,4691,25.2802,96,50,60,2461,875,1.41153,110,3.56694,2263078088
211.015,4739,25.2802,96,50,60,2461,875,1.41153,110,3.56694,2363136297
213.538,4683,25.2802,96,50,60,2461,875,1.41153,110,3.56694,2463196112
203.832,4906,25.2802,96,50,60,2461,875,1.41153,110,3.56694,2563264496
215.008,4651,25.2802,96,50,60,2461,875,1.41153,110,3.56694,2663326238
207.383,4822,22.9713,84,50,60,2173,825,1.41263,81,3.5681,2763388628
209.161,4781,22.9713,84,50,60,2173,825,1.41263,81,3.5681,2863456634
210.793,4744,22.9713,84,50,60,2173,825,1.41263,81,3.5681,2963518012
210.704,4746,22.9713,84,50,60,2173,825,1.41263,81,3.5681,3063579369
208.507,4796,22.9713,84,50,60,2173,825,1.41263,81,3.5681,3163640543
207.771,4813,22.896,99,50,60,2587,874,1.41263,113,3.5681,3263700627
209.556,4772,22.896,99,50,60,2587,874,1.41263,113,3.5681,3363761157
205.677,4862,22.896,99,50,60,2587,874,1.41263,113,3.5681,3463823824
206.313,4847,22.896,99,50,60,2587,874,1.41263,113,3.5681,3563881620
207.082,4829,22.896,99,50,60,2587,874,1.41263,113,3.5681,3663942380
207.469,4820,22.6161,99,50,60,2582,874,1.41263,114,3.5681,3764003116
201.288,4968,22.6161,99,50,60,2582,874,1.41263,114,3.5681,3864063444
201.045,4974,22.6161,99,50,60,2582,874,1.41263,114,3.5681,3964124003
189.43,5279,22.6161,99,50,60,2582,874,1.41263,114,3.5681,4064184442
187.091,5345,22.6161,99,50,60,2582,874,1.41263,114,3.5681,4164244463
195.312,5120,20.2192,96,50,58,2501,874,1.4128,111,3.56979,4264305203
195.465,5116,20.2192,96,50,58,2501,874,1.4128,111,3.56979,4364373690
185.014,5405,20.2192,96,50,58,2501,874,1.4128,111,3.56979,4464436153
179.759,5563,20.2192,96,50,58,2501,874,1.4128,111,3.56979,4564496963
188.75,5298,20.2192,96,50,58,2501,874,1.4128,111,3.56979,4664557261
192.938,5183,21.7772,70,50,60,1763,787,1.41307,81,3.57003,4764616511
173.943,5749,21.7772,70,50,60,1763,787,1.41307,81,3.57003,4864682730
155.715,6422,21.7772,70,50,60,1763,787,1.41307,81,3.57003,4964744341
200.803,4980,21.7772,70,50,60,1763,787,1.41307,81,3.57003,5064798831
192.641,5191,21.7772,70,50,60,1763,787,1.41307,81,3.57003,5164856858
188.573,5303,22.5124,86,49,59,2261,873,1.41386,97,3.5705,5264913390
187.688,5328,22.5124,86,49,59,2261,873,1.41386,97,3.5705,5364969137
186.846,5352,22.5124,86,49,59,2261,873,1.41386,97,3.5705,5465025848
193.087,5179,22.5124,86,49,59,2261,873,1.41386,97,3.5705,5565080579
179.179,5581,22.5124,86,49,59,2261,873,1.41386,97,3.5705,5665134947
88.4173,11310,21.4198,96,49,60,2553,875,1.41394,108,3.57074,5765190582
182.615,5476,21.4198,96,49,60,2553,875,1.41394,108,3.57074,5865245021
184.638,5416,21.4198,96,49,60,2553,875,1.41394,108,3.57074,5965300914
202.716,4933,21.4198,96,49,60,2553,875,1.41394,108,3.57074,6065355684
56.6701,17646,21.4198,96,49,60,2553,875,1.41394,108,3.57074,6165409002
196.889,5079,20.8092,88,50,58,2245,873,1.53894,99,3.57062,6265462527
191.791,5214,20.8092,88,50,58,2245,873,1.53894,99,3.57062,6365517365
195.274,5121,20.8092,88,50,58,2245,873,1.53894,99,3.57062,6465546484
188.822,5296,20.8092,88,50,58,2245,873,1.53894,99,3.57062,6565599653
176.118,5678,20.8092,88,50,58,2245,873,1.53894,99,3.57062,6665655705
195.008,5128,22.3767,73,50,60,1908,723,1.53912,85,3.57062,6765710222
189.286,5283,22.3767,73,50,60,1908,723,1.53912,85,3.57062,6865767998
194.288,5147,22.3767,73,50,60,1908,723,1.53912,85,3.57062,6965821853
190.15,5259,22.3767,73,50,60,1908,723,1.53912,85,3.57062,7065879521
189.43,5279,22.3767,73,50,60,1908,723,1.53912,85,3.57062,7165933301
194.099,5152,22.3058,98,49,60,2581,874,1.53917,113,3.57074,7265987021
196.04,5101,22.3058,98,49,60,2581,874,1.53917,113,3.57074,7366040444
202.306,4943,22.3058,98,49,60,2581,874,1.53917,113,3.57074,7466093656
50.9944,19610,22.3058,98,49,60,2581,874,1.53917,113,3.57074,7566150911
200.24,4994,22.3058,98,49,60,2581,874,1.53917,113,3.57074,7666205193
211.104,4737,22.5847,97,49,60,2513,871,1.53918,113,3.57061,7766258626
