os,cpu,gpu,ram,kernel,driver,cpuscheduler
ROSA Fresh Desktop 12.2,Intel Xeon CPU E5-2678 v3 @ 2.50GHz,Radeon RX 6600/6600 XT/6600M,32770052,5.19.0.xm2-1-xanmod-rosa2021.1-x86_64,4.6 Mesa 22.1.7,conservative
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
206.101,4852,22.6087,99,47,60,2577,874,1.40712,114,3.49055,16107396
204.207,4897,22.6087,99,47,60,2577,874,1.40712,114,3.49055,116171603
200.763,4981,22.6087,99,47,60,2577,874,1.40712,114,3.49055,216235413
204.457,4891,22.6087,99,47,60,2577,874,1.40712,114,3.49055,316296971
166.694,5999,22.6087,99,47,60,2577,874,1.40712,114,3.49055,416357366
200.04,4999,22.6087,99,47,60,2577,874,1.40712,114,3.49055,516412699
202.02,4950,23.7562,98,47,60,2575,875,1.40712,114,3.48652,616466995
195.312,5120,23.7562,98,47,60,2575,875,1.40712,114,3.48652,716520582
87.8194,11387,23.7562,98,47,60,2575,875,1.40712,114,3.48652,816574510
202.102,4948,23.7562,98,47,60,2575,875,1.40712,114,3.48652,916634704
206.398,4845,23.7562,98,47,60,2575,875,1.40712,114,3.48652,1016692783
206.398,4845,23.7562,98,47,60,2575,875,1.40712,114,3.48652,1116749449
206.398,4845,23.7562,98,47,60,2575,875,1.40712,114,3.48652,1216802391
206.398,4845,23.7562,98,47,60,2575,875,1.40712,114,3.48652,1316858774
206.398,4845,23.7562,98,47,60,2575,875,1.40712,114,3.48652,1416916458
209.424,4775,20.191,82,47,55,2158,827,1.40712,104,3.47627,1516970236
211.551,4727,20.191,82,47,55,2158,827,1.40712,104,3.47627,1617024375
208.42,4798,20.191,82,47,55,2158,827,1.40712,104,3.47627,1717080475
210.97,4740,20.191,82,47,55,2158,827,1.40712,104,3.47627,1817134368
210.837,4743,20.191,82,47,55,2158,827,1.40712,104,3.47627,1917188218
204.792,4883,22.3471,20,47,58,515,259,1.40712,25,3.47688,2017241644
206.058,4853,22.3471,20,47,58,515,259,1.40712,25,3.47688,2117295111
203.957,4903,22.3471,20,47,58,515,259,1.40712,25,3.47688,2217348789
210.526,4750,22.3471,20,47,58,515,259,1.40712,25,3.47688,2317403231
161.786,6181,22.3471,20,47,58,515,259,1.40712,25,3.47688,2417461706
31.2832,31966,22.9369,99,47,57,2593,875,1.41103,109,3.49012,2517523253
159.16,6283,22.9369,99,47,57,2593,875,1.41103,109,3.49012,2617628067
202.306,4943,22.9369,99,47,57,2593,875,1.41103,109,3.49012,2717711820
199.72,5007,22.9369,99,47,57,2593,875,1.41103,109,3.49012,2817771693
219.732,4551,22.9369,99,47,57,2593,875,1.41103,109,3.49012,2917819746
211.595,4726,27.1016,83,47,59,2116,816,1.40717,90,3.50448,3017878112
209.512,4773,27.1016,83,47,59,2116,816,1.40717,90,3.50448,3117938253
212.993,4695,27.1016,83,47,59,2116,816,1.40717,90,3.50448,3217997720
209.205,4780,27.1016,83,47,59,2116,816,1.40717,90,3.50448,3318026151
207.211,4826,27.1016,83,47,59,2116,816,1.40717,90,3.50448,3418079683
206.101,4852,22.4311,96,47,59,2493,875,1.40717,104,3.50459,3518134112
207.943,4809,22.4311,96,47,59,2493,875,1.40717,104,3.50459,3618188024
211.461,4729,22.4311,96,47,59,2493,875,1.40717,104,3.50459,3718244424
202.716,4933,22.4311,96,47,59,2493,875,1.40717,104,3.50459,3818297940
207.727,4814,22.4311,96,47,59,2493,875,1.40717,104,3.50459,3918352023
207.943,4809,22.5806,99,47,59,2580,875,1.40717,114,3.49813,4018407706
202.061,4949,22.5806,99,47,59,2580,875,1.40717,114,3.49813,4118461210
206.996,4831,22.5806,99,47,59,2580,875,1.40717,114,3.49813,4218516820
208.551,4795,22.5806,99,47,59,2580,875,1.40717,114,3.49813,4318573570
199.164,5021,22.5806,99,47,59,2580,875,1.40717,114,3.49813,4418630604
202.02,4950,22.3048,99,47,59,2579,875,1.40717,114,3.49813,4518686481
201.735,4957,22.3048,99,47,59,2579,875,1.40717,114,3.49813,4618740026
198.138,5047,22.3048,99,47,59,2579,875,1.40717,114,3.49813,4718795769
176.523,5665,22.3048,99,47,59,2579,875,1.40717,114,3.49813,4818849178
176.523,5665,22.3048,99,47,59,2579,875,1.40717,114,3.49813,4918906792
178.859,5591,19.335,79,47,56,2032,810,1.40735,101,3.49846,5018960778
202.757,4932,19.335,79,47,56,2032,810,1.40735,101,3.49846,5119013807
127.926,7817,19.335,79,47,56,2032,810,1.40735,101,3.49846,5219067402
